character,degree_centrality,strength,eigenvector
DR. OCTOPUS/OTTO OCT,0.03820469016928094,1227,0.017549232551155293
APOCALYPSE/EN SABAH,0.043640316819381894,1226,0.016631430551431514
"GRANT, GLORIA GLORY",0.04581456747942227,1219,0.008547937810402976
GEE/ALEX POWER,0.04193197701506445,1218,0.007107658294597893
LYJA LAZERFIST [SKRU,0.04022363721074701,1215,0.02686953475000571
DOC SAMSON/DR. LEONA,0.047522907283739715,1209,0.01566337132137282
NOVA II/FRANKIE RAYE,0.04690169280944246,1209,0.01958730467158574
KA-ZAR/KEVIN PLUNDER,0.05528808821245535,1199,0.010901380479876004
CLEA,0.039136511880726824,1199,0.009988229091619623
"KINCAID, DR. JANE FO",0.042087280633638764,1195,0.014728008874742616
MEPHISTO,0.06134492933685355,1169,0.012856325164048712
"KNIGHT, MISTY",0.0521820158409691,1165,0.009495042047590083
MARROW/SARAH,0.037583475694983694,1105,0.015289092539448204
VIZIER,0.029352383910545118,1100,0.009080340312171916
MAGMA/AMARA AQUILLA/,0.03556452865351763,1094,0.009393667549912926
GARGOYLE II/ISAAC CH,0.04100015530361858,1090,0.015141077938071148
RAGE/ELVIN DARYL HAL,0.043795620437956206,1079,0.015061246353970182
HIGH EVOLUTIONARY/HE,0.05730703525392142,1075,0.009763119269435573
DOMINO III/BEATRICE/,0.051716104985246154,1071,0.0053165879503001435
SUNFIRE/SHIRO YOSHID,0.05886007143966455,1070,0.013341629383576359
BLACK CAT/FELICIA HA,0.047367603665165396,1068,0.01015839439281505
MAKKARI/MIKE KHARY/I,0.047367603665165396,1062,0.006650257794563355
HUSK/PAIGE GUTHRIE,0.03649635036496351,1058,0.00369942073247123
"PAGE, KAREN",0.048144121758036965,1057,0.008246393183270468
SKIN/ANGELO ESPINOSA,0.035409225034943315,1057,0.0038861054211375852
SHATTERSTAR II/GAVEE,0.036185743127814876,1055,0.007021079946398724
CAPTAIN MARVEL/CAPTA,0.04022363721074701,1047,0.020881470314098777
CALIBAN/,0.03432209970492313,1043,0.010750778935352088
WILD CHILD/KYLE GIBN,0.0388259046435782,1039,0.0095861135266057
KARNILLA [ASGARDIAN],0.029818294766268055,1035,0.009035109735188515
"SUMMERS, MADELYNE MA",0.04068954806646995,1034,0.011783851923650447
GREEN GOBLIN/NORMAN,0.047212300046591084,1029,0.009365104764630526
GUARDIAN/JAMES MACDO,0.047367603665165396,1027,0.010982566420949087
"MADDICKS, ARTHUR ART",0.03571983227209194,1019,0.007650911503253594
BOX IV/MADISON JEFFR,0.02345084640472123,1015,0.0055808261161410895
CHAMBER/JONOTHON STA,0.03276906351918,1005,0.00301007743241772
LONGSHOT,0.03665165398353782,999,0.01287777974222274
"CARTER, SHARON",0.041466066159341515,995,0.015651566393406653
ABSORBING MAN/CARL C,0.04317440596365896,993,0.016162570967506788
PYRO/ALLERDYCE JOHNN,0.047522907283739715,993,0.009067401435509836
GAMORA,0.036185743127814876,992,0.014710696908347087
WRECKER III/DIRK GAR,0.035409225034943315,986,0.015584566906984293
"CARTER, PEGGY",0.05233731945954341,984,0.013087114054567793
FIREFIST/RUSTY COLLI,0.03416679608634881,979,0.00879395514174817
ULTRON,0.03028420562199099,979,0.02392676085129119
PIP/PRINCE GOFERN,0.03649635036496351,973,0.013828759745155622
FIXER II/PAUL NORBER,0.045969871097996585,971,0.008835998991342225
CITIZEN V II/HELMUT,0.05233731945954341,969,0.00822528161045815
SYNCH/EVERETT THOMAS,0.03354558161205156,968,0.0032402646768597814
THUNDERBALL/DR. ELIO,0.03292436713775431,964,0.015242305437976566
RED SKULL/JOHANN SCH,0.03960242273644976,958,0.01530396297802591
HELA [ASGARDIAN],0.04581456747942227,956,0.009478904224860935
"TILBY, TRISH/PATRICI",0.04705699642801677,950,0.01216986049250263
DAGGER/TANDY BOWEN,0.03944711911787545,949,0.007710302231795726
LEECH,0.03339027799347725,945,0.006401247995789558
ETERNITY/ADAM QADMON,0.04923124708805715,944,0.013115137967898522
BLACK KING/SEBASTIAN,0.04767821090231403,943,0.008779544112195559
ZABU,0.0425531914893617,933,0.007683721872904202
SKIDS/SALLY BLEVINS,0.030439509240565307,931,0.007873806523217862
SILHOUETTE,0.040534244447895634,928,0.008691083863057043
CORSAIR,0.03121602733343687,919,0.011231604604442048
MAGUS,0.03028420562199099,917,0.015060672294391106
MS. MARVEL II/SHARON,0.047212300046591084,915,0.020980825876813818
CLOAK/TYRONE JOHNSON,0.04317440596365896,914,0.006517307420498476
DIAMONDBACK II/RACHE,0.03789408293213232,906,0.007672239959245763
SNOWBIRD/NARYA/ANNE,0.03789408293213232,903,0.009860072084905837
JOLT/HALLIE TAKAHAMA,0.044416834912253456,894,0.005916942985131684
KARMA/XI'AN COY MANH,0.032613759900605686,887,0.007934831240430942
"HOGAN, VIRGINIA PEPP",0.04115545892219289,887,0.014082298663165247
SABRETOOTH/VICTOR CR,0.04301910234508464,882,0.008674003132768622
GHOST RIDER II/JOHNN,0.0425531914893617,878,0.009403595158666902
KLAW/ULYSSES KLAW,0.04193197701506445,877,0.014134484990763868
LIZARD/DR. CURTIS CO,0.025159186209038672,872,0.012643121370460593
PILEDRIVER II/BRIAN,0.028575865817673553,869,0.014270856356706167
